# aprs.fi Roh-Pakete BG7OSL, gesichert 2026-09-13 ~11:30 CEST, Quelle https://aprs.fi/?c=raw&call=BG7OSL (4 Seiten a 1000, dedupliziert)
# UTF-8-Bytes wie von aprs.fi als <0xNN> dargestellt; dekodierte Fassung: BG7OSL_aprsfi_decoded_2026-09-13.txt
2026-09-13 06:49:38 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:50:04 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:>APRSlocus CONNECT v1.6.97 Android
2026-09-13 06:50:09 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:50:41 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:51:11 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:51:42 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:52:43 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:53:14 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:54:15 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:54:46 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:53%
2026-09-13 06:55:17 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:52%
2026-09-13 06:55:48 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:!2113.17N/11024.49E[000/000 /A=000000 Bat:52%
2026-09-13 06:56:19 CEST: BG7OSL>APALOC,TCPIP*,qAC,T2SPAIN:>APRSlocus CONNECT v1.6.97 Android
