board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tdeck,2026-08-30 22:04:23,,reset,rst:0x15,,,,,t0-266.4s
tbeam,2026-08-30 22:04:23,,reset,rst:0x1,,,,,t0-266.4s
tbeam,2026-08-30 22:04:29,,link_down,heartbeat,,,,5798,t0-260.1s
heltec,2026-08-30 22:04:29,,link_down,heartbeat,,,,6381,t0-260.0s
heltec,2026-08-30 22:04:29,,link_up,connected,,,,6662,t0-259.8s
tbeam,2026-08-30 22:04:30,,link_up,connected,,,,6312,t0-259.4s
heltec,2026-08-30 22:04:30,,got_ip,event,,,,7217,t0-259.2s
heltec,2026-08-30 22:04:30,,got_ip,assoc,46:AF:97:2E:2B:86,3,-76,7218,t0-259.2s
tbeam,2026-08-30 22:04:30,,got_ip,event,,,,6843,t0-259.0s
tdeck,2026-08-30 22:04:30,,link_down,heartbeat,,,,7403,t0-259.0s
tbeam,2026-08-30 22:04:30,,got_ip,assoc,5A:AF:97:2E:2B:8B,3,-57,6843,t0-259.0s
heltec,2026-08-30 22:04:30,7417,boot,ip=1,,,,7417,t0-258.9s
heltec,2026-08-30 22:04:30,,ntp_ok,rtt=99,,,,1788120270,t0-258.9s
heltec,2026-08-30 22:04:31,,command,--udplog on,,,,,t0-258.6s
heltec,2026-08-30 22:04:31,,udplog_ack,1,,,,,t0-258.5s
tbeam,2026-08-30 22:04:31,7823,boot,ip=1,,,,7823,t0-258.0s
tbeam,2026-08-30 22:04:31,,ntp_ok,rtt=80,,,,1788120271,t0-257.8s
tbeam,2026-08-30 22:04:32,,command,--udplog on,,,,,t0-257.6s
tbeam,2026-08-30 22:04:32,,udplog_ack,1,,,,,t0-257.4s
tdeck,2026-08-30 22:04:33,,link_up,connected,,,,9844,t0-256.6s
tdeck,2026-08-30 22:04:33,,got_ip,event,,,,10454,t0-256.0s
tdeck,2026-08-30 22:04:33,,got_ip,assoc,5A:AF:97:2E:2B:8B,3,-66,10454,t0-256.0s
tdeck,2026-08-30 22:04:34,11425,boot,ip=1,,,,11425,t0-255.2s
tdeck,2026-08-30 22:04:34,,command,--udplog on,,,,,t0-254.8s
tdeck,2026-08-30 22:04:34,,udplog_ack,1,,,,,t0-254.8s
tdeck,2026-08-30 22:04:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-236.4s
tdeck,2026-08-30 22:04:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-236.4s
heltec,2026-08-30 22:04:53,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0-236.3s
