board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tdeck,2026-08-30 19:04:30,,reset,rst:0x15,,,,,
tbeam,2026-08-30 19:04:30,,reset,rst:0x1,,,,,
heltec,2026-08-30 19:04:36,,link_down,heartbeat,,,,6427,
tbeam,2026-08-30 19:04:36,,link_down,heartbeat,,,,5841,
heltec,2026-08-30 19:04:36,,link_up,connected,,,,6684,
tbeam,2026-08-30 19:04:37,,link_up,connected,,,,6293,
heltec,2026-08-30 19:04:37,,got_ip,event,,,,7268,
heltec,2026-08-30 19:04:37,,got_ip,assoc,5A:AF:97:2E:2B:8B,3,-48,7268,
tdeck,2026-08-30 19:04:37,,link_down,heartbeat,,,,7441,
tbeam,2026-08-30 19:04:37,,got_ip,event,,,,6811,
tbeam,2026-08-30 19:04:37,,got_ip,assoc,5A:AF:97:2E:2B:8B,3,-53,6812,
heltec,2026-08-30 19:04:37,7452,boot,ip=1,,,,7452,
tbeam,2026-08-30 19:04:37,6867,boot,ip=1,,,,6867,
heltec,2026-08-30 19:04:38,,command,--udplog on,,,,,
heltec,2026-08-30 19:04:38,,udplog_ack,1,,,,,
tbeam,2026-08-30 19:04:38,,command,--udplog on,,,,,
tbeam,2026-08-30 19:04:38,,udplog_ack,1,,,,,
tdeck,2026-08-30 19:04:40,,link_up,connected,,,,9830,
tdeck,2026-08-30 19:04:40,,got_ip,event,,,,10401,
tdeck,2026-08-30 19:04:40,,got_ip,assoc,5A:AF:97:2E:2B:8B,3,-66,10402,
tdeck,2026-08-30 19:04:40,10459,boot,ip=1,,,,10459,
tdeck,2026-08-30 19:04:41,,command,--udplog on,,,,,
tdeck,2026-08-30 19:04:41,,udplog_ack,1,,,,,
rak,2026-08-30 19:05:29,,link_up,eth heartbeat,,,,19480117,
rak,2026-08-30 19:05:29,,got_ip,eth heartbeat 192.168.68.72,,,,19480117,
heltec,2026-08-30 19:05:36,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-55,66430,
heltec,2026-08-30 19:05:36,,got_ip,heartbeat,,,,66430,
tbeam,2026-08-30 19:05:36,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-53,65844,
tbeam,2026-08-30 19:05:36,,got_ip,heartbeat,,,,65844,
tdeck,2026-08-30 19:05:37,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-70,67441,
tdeck,2026-08-30 19:05:37,,got_ip,heartbeat,,,,67441,
