boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,4,-70,-86,bssid,5A:AF:97:2E:2B:8B,55419,55938,23268,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
2,boot_002.log,1,2,-72,-72,bssid,5A:AF:97:2E:2B:8B,55390,55946,23399,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
3,boot_003.log,1,4,-70,-85,bssid,5A:AF:97:2E:2B:8B,55582,56138,23260,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
4,boot_004.log,1,4,-69,-85,bssid,5A:AF:97:2E:2B:8B,55288,55817,23228,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
5,boot_005.log,1,4,-69,-84,bssid,5A:AF:97:2E:2B:8B,55207,55742,23060,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
6,boot_006.log,1,4,-68,-88,bssid,5A:AF:97:2E:2B:8B,55147,55683,22943,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
7,boot_007.log,1,4,-69,-85,bssid,5A:AF:97:2E:2B:8B,55043,55653,22951,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
8,boot_008.log,1,4,-68,-85,bssid,5A:AF:97:2E:2B:8B,55036,55070,22958,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
9,boot_009.log,1,4,-71,-87,bssid,5A:AF:97:2E:2B:8B,55933,56459,23685,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
10,boot_010.log,1,4,-71,-86,bssid,5A:AF:97:2E:2B:8B,55784,56386,23641,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
11,boot_011.log,1,4,-71,-88,bssid,5A:AF:97:2E:2B:8B,55793,56415,23479,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
12,boot_012.log,1,4,-71,-86,bssid,5A:AF:97:2E:2B:8B,55468,55498,23340,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
13,boot_013.log,1,4,-74,-92,bssid,5A:AF:97:2E:2B:8B,55464,55495,23205,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
14,boot_014.log,1,4,-74,-86,bssid,5A:AF:97:2E:2B:8B,55537,56082,23186,0,10,2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|202:AUTH_FAIL|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE|2:AUTH_EXPIRE,12,,0,,0
