boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,2,-70,-85,ssid,,13539,14112,14140,1,0,,0,,0,,1
2,boot_002.log,1,2,-71,-86,ssid,,17801,18380,19256,1,0,,1,,0,,0
3,boot_003.log,1,2,-71,-88,ssid,,13183,14700,14777,1,0,,0,,0,,1
4,boot_004.log,1,2,-71,-87,ssid,,17447,19063,19880,1,0,,1,,0,,0
5,boot_005.log,1,2,-75,-90,ssid,,13815,14335,14416,1,0,,0,,0,,1
6,boot_006.log,1,2,-70,-87,ssid,,18071,18686,19529,1,0,,1,,0,,0
7,boot_007.log,1,2,-71,-84,ssid,,13418,13952,14031,1,0,,0,,0,,1
8,boot_008.log,1,2,-72,-92,ssid,,17681,18238,19109,1,0,,1,,0,,0
9,boot_009.log,1,2,-71,-85,ssid,,13087,13611,13666,1,0,,0,,0,,1
10,boot_010.log,1,2,-74,-90,ssid,,18320,18934,19788,1,0,,1,,0,,0
11,boot_011.log,1,2,-74,-91,ssid,,13858,14435,14460,1,0,,0,,0,,1
12,boot_012.log,1,2,-74,-93,ssid,,18159,18750,19619,1,0,,1,,0,,0
13,boot_013.log,1,1,-70,-70,ssid,,13559,14139,14166,1,0,,0,,0,,1
14,boot_014.log,1,2,-72,-89,ssid,,17946,19570,20403,1,0,,1,,0,,0
15,boot_015.log,1,2,-75,-89,ssid,,13469,14063,14089,1,0,,0,,0,,1
16,boot_016.log,1,2,-69,-92,ssid,,17783,18382,19237,1,0,,1,,0,,0
17,boot_017.log,1,2,-72,-90,ssid,,13137,13722,13748,1,0,,0,,0,,1
18,boot_018.log,1,2,-72,-86,ssid,,18357,19008,19812,1,0,,1,,0,,0
19,boot_019.log,1,2,-73,-93,ssid,,13728,14288,14315,1,0,,0,,0,,1
20,boot_020.log,1,2,-76,-88,ssid,,18069,19671,20542,1,0,,1,,0,,0
21,boot_021.log,1,2,-71,-92,ssid,,13506,14043,14114,1,0,,0,,0,,1
22,boot_022.log,1,2,-69,-91,ssid,,17791,18402,19255,1,0,,1,,0,,0
23,boot_023.log,1,2,-72,-91,ssid,,13208,13745,13795,1,0,,0,,0,,1
24,boot_024.log,1,2,-72,-87,ssid,,17484,18079,18921,1,0,,1,,0,,0
