boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,0,2,-51,-61,ssid,,10770,11293,12124,1,0,,0,,0,,1
2,boot_002.log,0,2,-50,-61,ssid,,10516,11043,11864,1,0,,0,,0,,1
3,boot_003.log,0,2,-47,-57,ssid,,10235,11035,11548,1,0,,0,,0,,1
4,boot_004.log,0,2,-48,-60,ssid,,10854,11406,12213,1,0,,0,,0,,1
5,boot_005.log,0,2,-50,-58,ssid,,10492,11063,11869,1,0,,0,,0,,1
6,boot_006.log,0,2,-51,-59,ssid,,10236,10790,11548,1,0,,0,,0,,1
7,boot_007.log,0,2,-51,-62,ssid,,10897,11486,12289,1,0,,0,,0,,1
8,boot_008.log,0,2,-49,-58,ssid,,10565,11251,11923,1,0,,0,,0,,1
9,boot_009.log,0,2,-50,-59,ssid,,10273,10799,11680,1,0,,0,,0,,1
10,boot_010.log,0,2,-50,-59,ssid,,10955,11498,12326,1,0,,0,,0,,1
11,boot_011.log,0,2,-51,-59,ssid,,10762,11314,12131,1,0,,0,,0,,1
12,boot_012.log,0,2,-48,-58,ssid,,10436,11006,11802,1,0,,0,,0,,1
