boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,2,-58,-70,ssid,,10304,10339,10864,1,0,,0,,0,,1
2,boot_002.log,1,1,-61,-61,ssid,,10196,10747,11798,1,0,,0,,0,,1
3,boot_003.log,1,2,-58,-68,ssid,,10088,10641,11684,1,0,,0,,0,,1
4,boot_004.log,1,2,-61,-70,ssid,,9943,10518,11537,1,0,,0,,0,,1
5,boot_005.log,1,2,-57,-70,ssid,,9753,10310,11305,1,0,,0,,0,,1
6,boot_006.log,1,2,-60,-69,ssid,,10592,11172,12172,1,0,,0,,0,,1
7,boot_007.log,1,2,-60,-69,ssid,,10395,10425,10942,1,0,,0,,0,,1
8,boot_008.log,1,2,-59,-70,ssid,,10176,10790,11819,1,0,,0,,0,,1
9,boot_009.log,1,2,-61,-70,ssid,,10045,10644,11631,1,0,,0,,0,,1
10,boot_010.log,1,2,-58,-71,ssid,,9843,10424,11394,1,0,,0,,0,,1
11,boot_011.log,1,2,-58,-70,ssid,,9783,10305,11336,1,0,,0,,0,,1
12,boot_012.log,1,2,-58,-69,ssid,,10603,11176,12195,1,0,,0,,0,,1
