boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,2,-71,-87,ssid,,13776,14347,15178,1,0,,0,,0,,1
2,boot_002.log,1,2,-73,-91,ssid,,13596,14114,14991,1,0,,0,,0,,1
3,boot_003.log,1,2,-72,-90,ssid,,13546,14119,14933,1,0,,0,,0,,1
4,boot_004.log,1,2,-70,-88,ssid,,13427,13987,14805,1,0,,0,,0,,1
5,boot_005.log,1,2,-72,-90,ssid,,13421,13999,14802,1,0,,0,,0,,1
6,boot_006.log,1,2,-73,-89,ssid,,13301,13819,14671,1,0,,0,,0,,1
7,boot_007.log,1,2,-71,-88,ssid,,14105,14648,15488,1,0,,0,,0,,1
8,boot_008.log,1,2,-73,-89,ssid,,13966,13995,14346,1,0,,0,,0,,1
9,boot_009.log,1,2,-71,-87,ssid,,13796,14350,15183,1,0,,0,,0,,1
10,boot_010.log,1,1,-73,-73,ssid,,13716,14286,15114,1,0,,0,,0,,1
11,boot_011.log,1,2,-75,-87,ssid,,13574,14098,14934,1,0,,0,,0,,1
12,boot_012.log,1,2,-74,-89,ssid,,13369,13945,14755,1,0,,0,,0,,1
13,boot_013.log,1,2,-71,-90,ssid,,13247,13824,14644,1,0,,0,,0,,1
14,boot_014.log,1,2,-73,-89,ssid,,14044,14565,15432,1,0,,0,,0,,1
15,boot_015.log,1,1,-73,-73,ssid,,13861,14384,15232,1,0,,0,,0,,1
16,boot_016.log,1,2,-74,-87,ssid,,13693,14288,15060,1,0,,0,,0,,1
17,boot_017.log,1,2,-74,-89,ssid,,13464,13992,14868,1,0,,0,,0,,1
18,boot_018.log,1,2,-74,-90,ssid,,13307,13829,14689,1,0,,0,,0,,1
19,boot_019.log,1,2,-73,-88,ssid,,13269,13798,14658,1,0,,0,,0,,1
20,boot_020.log,1,2,-71,-88,ssid,,13275,13801,14648,1,0,,0,,0,,1
21,boot_021.log,1,2,-72,-89,ssid,,14083,14618,15448,1,0,,0,,0,,1
22,boot_022.log,1,2,-74,-88,ssid,,14049,14577,15401,1,0,,0,,0,,1
23,boot_023.log,1,2,-74,-89,ssid,,13938,14518,15317,1,0,,0,,0,,1
24,boot_024.log,1,2,-75,-87,ssid,,13788,14364,15165,1,0,,0,,0,,1
