boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,2,-72,-85,bssid,5A:AF:97:2E:2B:8C,8711,9259,9702,1,0,,0,,0,,1
2,boot_002.log,1,2,-70,-85,bssid,5A:AF:97:2E:2B:8C,9554,10126,10571,1,0,,0,,0,,1
3,boot_003.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9464,10049,10458,1,0,,0,,0,,1
4,boot_004.log,1,2,-71,-86,bssid,5A:AF:97:2E:2B:8C,9360,9891,10387,1,0,,0,,0,,1
5,boot_005.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9301,9334,10312,1,0,,0,,0,,1
6,boot_006.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9273,9304,10279,1,0,,0,,0,,1
7,boot_007.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9097,9694,10127,1,0,,0,,0,,1
8,boot_008.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9060,9650,10066,1,0,,0,,0,,1
9,boot_009.log,1,2,-70,-85,bssid,5A:AF:97:2E:2B:8C,8964,9502,9937,1,0,,0,,0,,1
10,boot_010.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,8886,9412,9835,1,0,,0,,0,,1
11,boot_011.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,8813,9335,9766,1,0,,0,,0,,1
12,boot_012.log,1,2,-70,-85,bssid,5A:AF:97:2E:2B:8C,8764,9296,9724,1,0,,0,,0,,1
13,boot_013.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,8688,9245,9671,1,0,,0,,0,,1
14,boot_014.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9535,10093,10521,1,0,,0,,0,,1
15,boot_015.log,1,2,-71,-84,bssid,5A:AF:97:2E:2B:8C,9505,10074,10500,1,0,,0,,0,,1
16,boot_016.log,1,2,-71,-84,bssid,5A:AF:97:2E:2B:8C,9436,10017,10434,1,0,,0,,0,,1
17,boot_017.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9463,10112,10450,1,0,,0,,0,,1
18,boot_018.log,1,2,-71,-84,bssid,5A:AF:97:2E:2B:8C,9305,9340,10321,1,0,,0,,0,,1
19,boot_019.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9290,9876,10307,1,0,,0,,0,,1
20,boot_020.log,1,1,-71,-71,bssid,5A:AF:97:2E:2B:8C,9188,9712,10199,1,0,,0,,0,,1
21,boot_021.log,1,2,-72,-84,bssid,5A:AF:97:2E:2B:8C,9167,9747,10167,1,0,,0,,0,,1
22,boot_022.log,1,2,-71,-85,bssid,5A:AF:97:2E:2B:8C,9053,9575,10002,1,0,,0,,0,,1
23,boot_023.log,1,2,-71,-84,bssid,5A:AF:97:2E:2B:8C,8968,9550,9888,1,0,,0,,0,,1
24,boot_024.log,1,2,-71,-84,bssid,5A:AF:97:2E:2B:8C,8886,9425,9856,1,0,,0,,0,,1
