boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,0,,,ssid,,9846,10419,10651,1,0,,0,,0,,1
2,boot_002.log,1,0,,,ssid,,9834,10383,10487,1,0,,0,,0,,1
3,boot_003.log,1,0,,,ssid,,9820,10358,10493,1,0,,0,,0,,1
4,boot_004.log,1,0,,,ssid,,9821,10374,10393,1,0,,0,,0,,1
5,boot_005.log,1,0,,,ssid,,9838,10433,11338,1,0,,0,,0,,1
6,boot_006.log,1,0,,,ssid,,9839,10417,11107,1,0,,0,,0,,1
7,boot_007.log,1,0,,,ssid,,9842,10417,11102,1,0,,0,,0,,1
8,boot_008.log,1,0,,,ssid,,9842,10437,11066,1,0,,0,,0,,1
9,boot_009.log,1,0,,,ssid,,9824,10396,10966,1,0,,0,,0,,1
10,boot_010.log,1,0,,,ssid,,9833,10356,10829,1,0,,0,,0,,1
11,boot_011.log,1,0,,,ssid,,9823,10375,10649,1,0,,0,,0,,1
12,boot_012.log,1,0,,,ssid,,9835,10420,10483,1,0,,0,,0,,1
13,boot_013.log,1,0,,,ssid,,9829,10346,11315,1,0,,0,,0,,1
14,boot_014.log,1,0,,,ssid,,9841,10393,11275,1,0,,0,,0,,1
15,boot_015.log,1,0,,,ssid,,9837,10419,11174,1,0,,0,,0,,1
16,boot_016.log,1,0,,,ssid,,9824,10367,11169,1,0,,0,,0,,1
17,boot_017.log,1,0,,,ssid,,9842,10366,11099,1,0,,0,,0,,1
18,boot_018.log,1,0,,,ssid,,9830,10353,10977,1,0,,0,,0,,1
19,boot_019.log,1,0,,,ssid,,9825,10406,10933,1,0,,0,,0,,1
20,boot_020.log,1,0,,,ssid,,9820,10366,10801,1,0,,0,,0,,1
21,boot_021.log,1,0,,,ssid,,9834,10430,10651,1,0,,0,,0,,1
22,boot_022.log,1,0,,,ssid,,9821,10380,10625,1,0,,0,,0,,1
23,boot_023.log,1,0,,,ssid,,9829,10415,10533,1,0,,0,,0,,1
24,boot_024.log,1,0,,,ssid,,9837,10404,11399,1,0,,0,,0,,1
