board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-30 11:26:00,0,reset,,,,,rst:0x1,
tbeam,2026-08-30 11:26:06,5461,link,down,,,,,
tbeam,2026-08-30 11:26:11,10087,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 11:26:11,10665,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-55,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 11:26:12,11672,ready,,,,,1,
tbeam,2026-08-30 11:27:06,65492,link,up,5A:AF:97:2E:2B:8B,3,-54,age_s=54 ip=1,
tbeam,2026-08-30 11:27:31,90419,drop,,,,,,
tbeam,2026-08-30 11:27:31,90425,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-30 11:27:31,90425,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-55,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-30 11:27:35,93864,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 11:27:35,94445,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-55,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4026,live
tbeam,2026-08-30 11:28:06,125497,link,up,5A:AF:97:2E:2B:8B,3,-54,age_s=31 ip=1,
tbeam,2026-08-30 11:29:06,185501,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=91 ip=1,
tbeam,2026-08-30 11:30:06,245501,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=151 ip=1,
tbeam,2026-08-30 11:31:06,305505,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=211 ip=1,
tbeam,2026-08-30 11:32:06,365507,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=271 ip=1,
tbeam,2026-08-30 11:33:06,425511,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=331 ip=1,
tbeam,2026-08-30 11:34:06,485515,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=391 ip=1,
tbeam,2026-08-30 11:35:06,545520,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=451 ip=1,
