board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
heltec,2026-08-30 22:42:49,2915,link,down,,,,,
heltec,2026-08-30 22:42:53,6663,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-53,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-30 22:42:53,7193,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-52,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-30 22:42:54,7957,ready,,,,,1,
heltec,2026-08-30 22:43:49,62915,link,up,5A:AF:97:2E:2B:8B,3,-50,age_s=55 ip=1,
heltec,2026-08-30 22:44:17,90721,drop,,,,,,
heltec,2026-08-30 22:44:17,90723,disconnected,8:ASSOC_LEAVE,,,,,our drop
heltec,2026-08-30 22:44:17,90723,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-52,auth=7 phy=bgn pmf=0 wpa3=0,cached
heltec,2026-08-30 22:44:20,94158,assoc_connected,0,46:AF:97:2E:2B:86,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-30 22:44:21,94747,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-75,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4026,live BSSID_CHANGE
heltec,2026-08-30 22:44:49,122920,link,up,46:AF:97:2E:2B:86,3,-72,age_s=28 ip=1,
heltec,2026-08-30 22:45:49,182925,link,up,46:AF:97:2E:2B:86,3,-75,age_s=88 ip=1,
heltec,2026-08-30 22:46:49,242928,link,up,46:AF:97:2E:2B:86,3,-76,age_s=148 ip=1,
heltec,2026-08-30 22:47:49,302931,link,up,46:AF:97:2E:2B:86,3,-67,age_s=208 ip=1,
heltec,2026-08-30 22:48:49,362935,link,up,46:AF:97:2E:2B:86,3,-71,age_s=268 ip=1,
heltec,2026-08-30 22:49:49,422937,link,up,46:AF:97:2E:2B:86,3,-78,age_s=328 ip=1,
heltec,2026-08-30 22:50:49,482939,link,up,46:AF:97:2E:2B:86,3,-78,age_s=388 ip=1,
heltec,2026-08-30 22:51:49,542943,link,up,46:AF:97:2E:2B:86,3,-69,age_s=448 ip=1,
heltec,2026-08-30 22:52:49,602946,link,up,46:AF:97:2E:2B:86,3,-72,age_s=508 ip=1,
heltec,2026-08-30 22:53:49,662946,link,up,46:AF:97:2E:2B:86,3,-75,age_s=568 ip=1,
heltec,2026-08-30 22:54:18,691594,drop,,,,,,
heltec,2026-08-30 22:54:18,691596,disconnected,8:ASSOC_LEAVE,,,,,our drop
