board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-30 22:42:46,0,reset,,,,,rst:0x1,
tbeam,2026-08-30 22:42:49,2717,link,down,,,,,
tbeam,2026-08-30 22:42:53,6289,assoc_connected,0,46:AF:97:2E:2B:86,3,-74,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 22:42:54,6850,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-73,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 22:42:55,7754,ready,,,,,1,
tbeam,2026-08-30 22:43:49,62719,link,up,46:AF:97:2E:2B:86,3,-72,age_s=55 ip=1,
tbeam,2026-08-30 22:44:17,90391,drop,,,,,,
tbeam,2026-08-30 22:44:17,90396,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-30 22:44:17,90396,assoc_disconnected,8,46:AF:97:2E:2B:86,3,-73,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-30 22:44:21,93842,assoc_connected,0,46:AF:97:2E:2B:86,3,-74,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 22:44:21,94502,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-74,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4111,live
tbeam,2026-08-30 22:44:50,122721,link,up,46:AF:97:2E:2B:86,3,-74,age_s=28 ip=1,
tbeam,2026-08-30 22:45:49,182725,link,up,46:AF:97:2E:2B:86,3,-75,age_s=88 ip=1,
tbeam,2026-08-30 22:46:49,242727,link,up,46:AF:97:2E:2B:86,3,-79,age_s=148 ip=1,
tbeam,2026-08-30 22:47:50,302730,link,up,46:AF:97:2E:2B:86,3,-79,age_s=208 ip=1,
tbeam,2026-08-30 22:48:50,362732,link,up,46:AF:97:2E:2B:86,3,-80,age_s=268 ip=1,
tbeam,2026-08-30 22:49:49,422735,link,up,46:AF:97:2E:2B:86,3,-81,age_s=328 ip=1,
tbeam,2026-08-30 22:50:49,482735,link,up,46:AF:97:2E:2B:86,3,-85,age_s=388 ip=1,
tbeam,2026-08-30 22:51:50,542738,link,up,46:AF:97:2E:2B:86,3,-77,age_s=448 ip=1,
tbeam,2026-08-30 22:52:49,602741,link,up,46:AF:97:2E:2B:86,3,-73,age_s=508 ip=1,
tbeam,2026-08-30 22:53:50,662744,link,up,46:AF:97:2E:2B:86,3,-73,age_s=568 ip=1,
tbeam,2026-08-30 22:54:18,691251,drop,,,,,,
tbeam,2026-08-30 22:54:18,691255,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-30 22:54:18,691256,assoc_disconnected,8,46:AF:97:2E:2B:86,3,-74,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-30 22:54:22,694697,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-60,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 22:54:22,695268,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-61,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4017,live BSSID_CHANGE
tbeam,2026-08-30 22:54:49,722748,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=27 ip=1,
tbeam,2026-08-30 22:55:50,782749,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=87 ip=1,
tbeam,2026-08-30 22:56:49,842753,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=147 ip=1,
tbeam,2026-08-30 22:57:49,902754,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=207 ip=1,
tbeam,2026-08-30 22:58:50,962754,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=267 ip=1,
tbeam,2026-08-30 22:59:50,1022758,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=327 ip=1,
tbeam,2026-08-30 23:00:50,1082760,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=387 ip=1,
tbeam,2026-08-30 23:01:49,1142760,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=447 ip=1,
tbeam,2026-08-30 23:02:49,1202764,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=507 ip=1,
