board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tdeck,2026-08-30 22:42:46,0,reset,,,,,rst:0x15,
tdeck,2026-08-30 22:42:51,5382,link,down,,,,,
tdeck,2026-08-30 22:42:56,9834,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-71,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-30 22:42:57,10351,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-68,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-30 22:42:57,10404,ready,,,,,1,
tdeck,2026-08-30 22:43:51,65382,link,up,5A:AF:97:2E:2B:8B,3,-69,age_s=55 ip=1,
tdeck,2026-08-30 22:44:17,90551,drop,,,,,,
tdeck,2026-08-30 22:44:17,90552,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-30 22:44:17,90553,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-68,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-30 22:44:20,94006,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-70,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-30 22:44:21,94635,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-70,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4084,live
tdeck,2026-08-30 22:44:52,125383,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=30 ip=1,
tdeck,2026-08-30 22:45:51,185383,link,up,5A:AF:97:2E:2B:8B,3,-73,age_s=90 ip=1,
tdeck,2026-08-30 22:46:52,245386,link,up,5A:AF:97:2E:2B:8B,3,-76,age_s=150 ip=1,
tdeck,2026-08-30 22:47:52,305390,link,up,5A:AF:97:2E:2B:8B,3,-71,age_s=210 ip=1,
tdeck,2026-08-30 22:48:51,365395,link,up,5A:AF:97:2E:2B:8B,3,-71,age_s=270 ip=1,
tdeck,2026-08-30 22:49:52,425397,link,up,5A:AF:97:2E:2B:8B,3,-70,age_s=330 ip=1,
tdeck,2026-08-30 22:50:51,485400,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=390 ip=1,
tdeck,2026-08-30 22:51:52,545402,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=450 ip=1,
tdeck,2026-08-30 22:52:52,605407,link,up,5A:AF:97:2E:2B:8B,3,-76,age_s=510 ip=1,
tdeck,2026-08-30 22:53:51,665412,link,up,5A:AF:97:2E:2B:8B,3,-83,age_s=570 ip=1,
tdeck,2026-08-30 22:54:18,691420,drop,,,,,,
tdeck,2026-08-30 22:54:18,691421,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-30 22:54:18,691422,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-70,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-30 22:54:21,694861,assoc_connected,0,46:AF:97:2E:2B:86,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-30 22:54:21,695405,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-73,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3985,live BSSID_CHANGE
tdeck,2026-08-30 22:54:51,725416,link,up,46:AF:97:2E:2B:86,3,-75,age_s=30 ip=1,
tdeck,2026-08-30 22:55:51,785418,link,up,46:AF:97:2E:2B:86,3,-77,age_s=90 ip=1,
tdeck,2026-08-30 22:56:51,845419,link,up,46:AF:97:2E:2B:86,3,-77,age_s=150 ip=1,
tdeck,2026-08-30 22:57:51,905419,link,up,46:AF:97:2E:2B:86,3,-77,age_s=210 ip=1,
tdeck,2026-08-30 22:58:51,965419,link,up,46:AF:97:2E:2B:86,3,-75,age_s=270 ip=1,
tdeck,2026-08-30 22:59:52,1025419,link,up,46:AF:97:2E:2B:86,3,-76,age_s=330 ip=1,
tdeck,2026-08-30 23:00:51,1085420,link,up,46:AF:97:2E:2B:86,3,-74,age_s=390 ip=1,
tdeck,2026-08-30 23:01:52,1145423,link,up,46:AF:97:2E:2B:86,3,-76,age_s=450 ip=1,
tdeck,2026-08-30 23:02:51,1205428,link,up,46:AF:97:2E:2B:86,3,-74,age_s=510 ip=1,
tdeck,2026-08-30 23:03:52,1265431,link,up,46:AF:97:2E:2B:86,3,-76,age_s=570 ip=1,
tdeck,2026-08-30 23:04:18,1292301,drop,,,,,,
tdeck,2026-08-30 23:04:18,1292302,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-30 23:04:18,1292303,assoc_disconnected,8,46:AF:97:2E:2B:86,3,-73,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-30 23:04:22,1295751,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-70,auth=7 phy=bgn pmf=0 wpa3=0,live
